index,Artist,Chords,Label,Song
189,stone-temple-pilots,"A,A5,A#m7b5,G#sus4,C#m7,Asus2,G#7,C#7/B,G#/C,E,G#,F#m11/E",intermediate,interstate-love-song
190,elevation-worship,"G/B,Gsus,G,C,F,Am",advanced,resurrecting
191,cat-stevens,"Am7,C/G,G,C,G/D,Am,D/F#,Em,D,Bm",novice,father-and-son
192,rihanna,"G,A,Bm",advanced,diamonds
193,soundgarden,"A,D,Bb,G,E5,C,F,C6,A6,E,A7/G,F#",intermediate,black-hole-sun
194,lady-gaga,"Fsus2,G,C,F,Am",novice,million-reasons
195,monchy-y-alexandra,"D,F,Bb,C",advanced,hoja-en-blanco
196,frank-ocean,"A,Dm7,G,Ebmaj7,C,Fmaj7,Em7,Am",advanced,thinkin-about-you
197,amorphis,"C,Gm,F,D,D#",advanced,house-of-sleep
198,shawn-mendes,"F,G,Am,C",intermediate,treat-you-better
199,bruno-mars,"D,G,Bm7",novice,just-the-way-you-are
200,john-farnham,"C/Bb,Dm7,G#dim,G/C,Gsus4,F,G/A,G,Am7,Am/G,C,Gm7,Ab,F/G,A,C/G,D7,Fdim,Am,Fm9,A7",advanced,please-dont-ask-me
201,nightmare,"Dm,G,C,Am,F,D,A7,E7,Bm",advanced,aluminia
202,great-white,"Am7,G/B,C/G,G,Dsus4,C,C/D,Fmaj7,Am,C/G#,D/F#,F,D,Em/D",advanced,stairway-to-heaven
203,jordan-rabjohn,"D6,C/G,G/F#,B7,G,C#add9,Cadd9,Dadd9,C6,Em,D,C#6",advanced,90s-kid
204,coldplay,"G,C,Gm,F,Am",novice,yellow
205,alejandro-sanz,"C/Bb,Adim,G/C,F,D4,G/B,F7,G,Gm,C7,D,Bm,Am7,F6,B,C,Gm7,C4,Gm9,Dm/B,Bb,Am,E,Bb6,F5",advanced,corazon-partio
206,nirvana,"A,C#,Dm,C,F",intermediate,the-man-who-sold-the-world
207,nickelback,"Bb,G,C,F,Eb",novice,rockstar
208,ed-sheeran,"A,Bm7#5,G,A7sus4,D/F#,D,Bm",novice,castle-on-the-hill
209,sam-smith,"A,Bb,Dm,Bb/C,C,F",intermediate,im-not-the-only-one
210,johnny-cash,"G,C,Am,F,D",novice,hurt
211,king-gnu,"Fm7/C,Gb7,Cdim,Bbm/F,Gbmaj,F7/A,Bb7,Bbm,Gmaj13,F#m/A,G#m7,Bbm7,Cb,Dbmaj9,F7,Ab7,Adim7,Gmaj7,G,C#m7,Dbmaj7/Ab,Bbm7/F,Ab7sus4,A7,Bm9,D,Db,Bm7,Fm/Ab,Bm,Ebm,Gbm7,Cm7,Gdim,Gb,Fm,Gm7,Ab,A,Absus4,F/A,Bb,Bbm/Ab,F#7,Db/Ab,Gbmaj7,F7b9/A,Fm7/Ab,Bbm9,Bm7/F#,F#/A#,F/Ab,F7sus4/Bb",advanced,hakujitsu
212,the-beatles,"A,B7,Am/C,Am,E,E7,A7,E7/G#",intermediate,i-saw-her-standing-there
213,tori-amos,"Ebadd9,Abmaj7,Cm,Cm/Eb,Fm,Eb,Ab,F5,Fm7",advanced,caught-a-lite-sneeze
214,kodaline,"G/B,Dm,G,C,F,Am",novice,all-i-want
215,simon-garfunkel,"G,D7,C,Am,Em,D,Bm",intermediate,kathys-song
216,bread,"A,Dm,Asus2,G,F#m,Dmaj7,Asus4,E,D,Bm",intermediate,everything-i-own
217,lianne-la-havas,"Am6,Em9,D#m6,Adim/D#,GM7,Em6,Adim,A13,G#m7b5,A#M9,Am9",advanced,courage
218,ling-tosite-sigure,"G,C,Am,Em,D,Bm",intermediate,unravel
219,fleetwood-mac,"A,G,Em,D,Bm",intermediate,songbird
220,harry-styles,"A,Bb,B,Dm7,C,F,E,C#m",advanced,sign-of-the-times
221,paramore,"Dm,G,C,Cmaj7,Am,D,Fadd#11",novice,the-only-exception
222,neil-young,"G,C,Gm,Am,F,D",intermediate,cinnamon-girl
223,isla-vista-worship,"Dm7,Csus,F/C,F,Dm9,G/B,Fsus2,Gsus,G,G6,Dsus,Ddim/F,Am7,C,F2/A,FM7,CM7,Csus2,Am,G5,C/E",advanced,my-portion
224,john-mayer,"Badd11,A,B,C#m7,G,F#m11,E,D,Aadd9",intermediate,slow-dancing-in-a-burning-room
225,simon-garfunkel,"G,C,G4/B,F,Am",advanced,the-sound-of-silence
226,frank-sinatra,"Dm7,Bm7b5,Em7,F#dim7,F,FM9,A11,F#m7,Fdim7,Abdim7,F#,D6,Em9,G,G6,A7b9,DM7,Ab7-5,C7,D7#9,D,B7b9,Bm7,Fadd9,Am7,D11,F6,C7b9,C9,Am7/D,Gm7,Bdim7,A9,A7-9,FM7,D7,Em7/A,A6,Em,A7,F+5,Bb9",advanced,the-way-you-look-tonight
227,dean-lewis,"A,G,Em,D,Bm",intermediate,waves
228,dire-straits,"Dm7,F/C,C7/F,Bb/D,C7/E,F,Fsus4,D7/F#,Gm6/E,G7/D,G,Gm/Bb,Bb/F,Gm/D,Gm,G/D,Dm7/C,C7,A7+,D,C7/Bb,A/D,F/E,C9,Csus4,C,Gm7,G7sus4/D,A,F/A,Bb,Dm,C/G,D7,C/D,Am,Em,A7,C/E",advanced,telegraph-road
